,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
13,1,1,1,1,0,0,0,0,0,0,0,0,0,-0.0403158,0.0144835,-0.0431235,0.57371,0.515174,0.585042,0.571851,0.58731
14,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.0539412,0.0145929,-0.0551986,0.525305,0.505333,0.49437,0.508651,0.562302
15,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.0606567,0.00584551,-0.0671304,0.515808,0.485597,0.49437,0.508656,0.550187
16,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.03672,0.0216129,-0.0381984,0.602397,0.545122,0.60977,0.55339,0.56966
17,1,1,0,0,1,0,0,0,0,0,0,0,0,-0.0420472,0.0140817,-0.051879,0.5929,0.519029,0.60977,0.560242,0.557771
18,0,0,1,0,1,0,0,0,0,0,0,0,0,-0.0539895,0.0139662,-0.0506409,0.525305,0.508415,0.49437,0.508541,0.572676
19,1,0,1,0,1,0,0,0,0,0,0,0,0,-0.0603688,0.00632014,-0.0627856,0.515808,0.497732,0.49437,0.509452,0.571134
20,0,1,1,0,1,0,0,0,0,0,0,0,0,-0.0375565,0.0196495,-0.0366335,0.583207,0.520534,0.585042,0.527665,0.583189
21,1,1,1,0,1,0,0,0,0,0,0,0,0,-0.0427437,0.0130292,-0.0499593,0.57371,0.512628,0.585042,0.537547,0.578845
22,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.0517902,0.0152794,-0.0514048,0.525305,0.520674,0.49437,0.54312,0.558499
23,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.0585059,0.00656047,-0.0633368,0.515808,0.509084,0.49437,0.534868,0.557213
24,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.0394257,0.0150649,-0.0477847,0.5929,0.520803,0.60977,0.572498,0.567645
25,0,0,1,1,1,0,0,0,0,0,0,0,0,-0.0520456,0.0148341,-0.048245,0.525305,0.515458,0.49437,0.513362,0.56574
26,1,0,1,1,1,0,0,0,0,0,0,0,0,-0.058425,0.0072361,-0.0603899,0.515808,0.510852,0.49437,0.508503,0.56743
27,1,1,1,1,1,0,0,0,0,0,0,0,0,-0.0407011,0.013838,-0.0461849,0.57371,0.515412,0.585042,0.530357,0.577209
28,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.060789,0.00850289,-0.0611912,0.528233,0.496881,0.528314,0.558192,0.540191
29,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.0368523,0.0242979,-0.0322588,0.614822,0.550578,0.60977,0.599123,0.560143
30,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.0421795,0.0167566,-0.0459397,0.605325,0.517738,0.60977,0.595664,0.547511
31,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0542348,0.0171342,-0.0445337,0.53773,0.529091,0.528314,0.541393,0.574576
32,1,0,1,0,0,1,0,0,0,0,0,0,0,-0.0606141,0.00948099,-0.0566786,0.528233,0.502143,0.528314,0.534362,0.56271
33,0,1,1,0,0,1,0,0,0,0,0,0,0,-0.0378019,0.0228268,-0.0305261,0.595633,0.523859,0.585042,0.561573,0.580266
34,1,1,1,0,0,1,0,0,0,0,0,0,0,-0.0429892,0.0162007,-0.0438521,0.586136,0.512675,0.585042,0.562974,0.569312
35,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0512634,0.0191566,-0.045471,0.53773,0.537553,0.528314,0.579054,0.563926
36,1,0,0,1,0,1,0,0,0,0,0,0,0,-0.057979,0.0104306,-0.0574032,0.528233,0.512635,0.528314,0.561731,0.552394
37,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.0335716,0.0264688,-0.0281699,0.614822,0.532069,0.60977,0.589738,0.571328
38,1,1,0,1,0,1,0,0,0,0,0,0,0,-0.0388989,0.0189579,-0.0418508,0.605325,0.519029,0.60977,0.588359,0.560056
